20240718T085332Z,1946,0132
20240718T085335Z,1946,0132
20240718T085337Z,1946,0132
20240718T085338Z,1946,0132
20240718T085341Z,1946,0132
20240718T085342Z,1946,0132
20240718T085344Z,0435,0132
20240718T085346Z,1946,8694
20240718T085601Z,1946,0132
20240718T085601Z,0435,0132
20240718T085601Z,0011,0132
20240718T085607Z,0011,0133
20240718T085608Z,0011,0132
20240718T085612Z,0011,0133
20240718T085614Z,0011,0133
20240718T085616Z,0011,0132
20240718T085619Z,0011,0133
20240718T085621Z,0011,0133
20240718T085623Z,0011,0133
20240718T085625Z,0011,0133
